,date,exchange_rate_USD_JY,cpi_j,interest_r_j,inflation_j,gdp_pc_j,cpi_us,inflation_us,interest_r_us,gdp_pc_us,govt_debt_j,govt_debt_us
2654,1981-03-06,209.0,76.9661491473657,6.25,4.91216291820522,20011.8292508853,88.6,10.3347153402771,15.94,,52.876,
2655,1981-03-09,206.0,76.9661491473657,6.25,4.91216291820522,20011.8292508853,88.6,10.3347153402771,15.67,,52.876,
2656,1981-03-10,207.0,76.9661491473657,6.25,4.91216291820522,20011.8292508853,88.6,10.3347153402771,15.15,,52.876,
2657,1981-03-11,207.6,76.9661491473657,6.25,4.91216291820522,20011.8292508853,88.6,10.3347153402771,13.96,,52.876,
2658,1981-03-12,207.6,76.9661491473657,6.25,4.91216291820522,20011.8292508853,88.6,10.3347153402771,14.61,,52.876,
2659,1981-03-13,207.55,76.9661491473657,6.25,4.91216291820522,20011.8292508853,88.6,10.3347153402771,14.28,,52.876,
2660,1981-03-16,207.27,76.9661491473657,6.25,4.91216291820522,20011.8292508853,88.6,10.3347153402771,14.18,,52.876,
2661,1981-03-17,207.7,76.9661491473657,6.25,4.91216291820522,20011.8292508853,88.6,10.3347153402771,14.27,,52.876,
2662,1981-03-18,207.6,76.9661491473657,6.25,4.91216291820522,20011.8292508853,88.6,10.3347153402771,13.0,,52.876,
2663,1981-03-19,208.75,76.9661491473657,6.25,4.91216291820522,20011.8292508853,88.6,10.3347153402771,13.05,,52.876,
2664,1981-03-20,208.25,76.9661491473657,6.25,4.91216291820522,20011.8292508853,88.6,10.3347153402771,13.16,,52.876,
2665,1981-03-23,208.6,76.9661491473657,6.25,4.91216291820522,20011.8292508853,88.6,10.3347153402771,13.47,,52.876,
2666,1981-03-24,208.55,76.9661491473657,6.25,4.91216291820522,20011.8292508853,88.6,10.3347153402771,13.69,,52.876,
2667,1981-03-25,208.85,76.9661491473657,6.25,4.91216291820522,20011.8292508853,88.6,10.3347153402771,14.7,,52.876,
2668,1981-03-26,211.45,76.9661491473657,6.25,4.91216291820522,20011.8292508853,88.6,10.3347153402771,14.82,,52.876,
2669,1981-03-27,211.8,76.9661491473657,6.25,4.91216291820522,20011.8292508853,88.6,10.3347153402771,15.1,,52.876,
2670,1981-03-30,211.4,76.9661491473657,6.25,4.91216291820522,20011.8292508853,88.6,10.3347153402771,15.23,,52.876,
2671,1981-03-31,211.25,76.9661491473657,6.25,4.91216291820522,20011.8292508853,88.6,10.3347153402771,14.63,,52.876,
2672,1981-04-01,212.4,77.5769916009163,6.25,4.91216291820522,20011.8292508853,89.1,10.3347153402771,14.51,30042.0,52.876,30.70875
2673,1981-04-02,213.8,77.5769916009163,6.25,4.91216291820522,20011.8292508853,89.1,10.3347153402771,14.86,30042.0,52.876,30.70875
2674,1981-04-03,213.2,77.5769916009163,6.25,4.91216291820522,20011.8292508853,89.1,10.3347153402771,15.77,30042.0,52.876,30.70875
2675,1981-04-06,214.0,77.5769916009163,6.25,4.91216291820522,20011.8292508853,89.1,10.3347153402771,16.03,30042.0,52.876,30.70875
2676,1981-04-07,213.1,77.5769916009163,6.25,4.91216291820522,20011.8292508853,89.1,10.3347153402771,15.6,30042.0,52.876,30.70875
